city_slug,window_months,post_cutoff,n_obs,n_unique_listings,mean_available,mean_price_usd,mean_log_price,mean_host_response_rate,mean_host_acceptance_rate
san-francisco,2,1,484654,7817,0.4809658024074907,468.93800051170524,5.22435859172497,0.9645845967252882,0.8445681521265783
san-francisco,3,0,719164,7817,0.5494490825458449,468.93800051170524,5.224358591724972,0.964584596725288,0.8445681521265787
san-francisco,3,1,719164,7817,0.48091951210016076,468.93800051170524,5.224358591724972,0.964584596725288,0.8445681521265787
seattle,1,0,209622,6762,0.5680128994094131,235.11360839988168,5.11110063525136,0.9824087342204028,0.9137329743427305
seattle,1,1,209622,6762,0.5312324088120521,235.11360839988168,5.11110063525136,0.9824087342204028,0.9137329743427305
seattle,2,0,419244,6762,0.5751638663880699,235.11360839988168,5.111100635251358,0.9824087342204029,0.9137329743427303
seattle,2,1,419244,6762,0.5304094990029673,235.11360839988168,5.111100635251358,0.9824087342204029,0.9137329743427303
seattle,3,0,622104,6762,0.5734716381826833,235.1136083998817,5.1111006352513595,0.9824087342204021,0.9137329743427307
seattle,3,1,622104,6762,0.5108454534933066,235.1136083998817,5.1111006352513595,0.9824087342204021,0.9137329743427307
washington-dc,1,0,188387,6077,0.5693439568547723,401.61049860128355,5.069136033414133,0.9609613672779063,0.9033138435081687
washington-dc,1,1,188387,6077,0.5714088551757818,401.61049860128355,5.069136033414133,0.9609613672779063,0.9033138435081687
washington-dc,2,0,376774,6077,0.6075100723510646,401.61049860128355,5.069136033414133,0.9609613672779063,0.9033138435081687
washington-dc,2,1,376774,6077,0.5536793940133873,401.61049860128355,5.069136033414133,0.9609613672779063,0.9033138435081687
washington-dc,3,0,559084,6077,0.6190894391540448,401.61049860128355,5.069136033414132,0.9609613672779063,0.9033138435081688
washington-dc,3,1,559084,6077,0.5294428028704095,401.61049860128355,5.069136033414132,0.9609613672779063,0.9033138435081688
