city_slug,window_months,period,post_cutoff,n_obs,mean_price_usd,std_price_usd,p10_price_usd,p25_price_usd,median_price_usd,p75_price_usd,p90_price_usd,mean_log_price,std_log_price,p10_log_price,p25_log_price,median_log_price,p75_log_price,p90_log_price
boston,3,pre,0,407192,249.61138725711703,399.8587430161925,60.0,99.0,179.0,298.0,500.0,5.16446663143968,0.7938070784340924,4.0943445622221,4.59511985013459,5.187385805840755,5.697093486505405,6.214608098422191
boston,3,post,1,407192,249.61138725711703,399.8587430161925,60.0,99.0,179.0,298.0,500.0,5.164466631439677,0.7938070784340924,4.0943445622221,4.59511985013459,5.187385805840755,5.697093486505405,6.214608098422191
chicago,1,pre,0,270971,542.7876488627934,2182.4574938022783,50.0,89.0,150.0,285.0,650.0,5.148356567004204,1.1032216578646339,3.912023005428146,4.48863636973214,5.0106352940962555,5.652489180268651,6.476972362889683
chicago,1,post,1,270971,542.7671891087977,2182.434270608057,50.0,89.0,150.0,285.0,650.0,5.148349669435227,1.1032039163862493,3.912023005428146,4.48863636973214,5.0106352940962555,5.652489180268651,6.476972362889683
chicago,2,pre,0,541942,542.6935686844718,2182.276052519221,50.0,89.0,150.0,285.0,650.0,5.148336458026441,1.1031616236452764,3.912023005428146,4.48863636973214,5.0106352940962555,5.652489180268651,6.476972362889683
chicago,2,post,1,541942,542.774861516546,2182.4429793573254,50.0,89.0,150.0,285.0,650.0,5.148352256023592,1.1032105694791323,3.912023005428146,4.48863636973214,5.0106352940962555,5.652489180268651,6.476972362889683
chicago,3,pre,0,804172,542.661333645041,2182.2151154941844,50.0,89.0,150.0,285.0,650.0,5.148329375936054,1.1031406964901036,3.912023005428146,4.48863636973214,5.0106352940962555,5.652489180268651,6.476972362889683
chicago,3,post,1,804172,542.7827007157673,2182.45187736348,50.0,89.0,150.0,285.0,650.0,5.148354898842142,1.1032173671567658,3.912023005428146,4.48863636973214,5.0106352940962555,5.652489180268651,6.476972362889683
los-angeles,1,pre,0,1395248,383.4243042885566,1483.7336770691682,58.0,90.0,155.0,281.0,550.0,5.1575710616262915,0.9661967162931043,4.060443010546419,4.499809670330265,5.043425116919247,5.638354669333745,6.309918278226516
los-angeles,1,post,1,1395248,383.11079944927354,1484.8172442488508,58.0,90.0,155.0,281.0,550.0,5.157409116091362,0.9657940610898207,4.060443010546419,4.499809670330265,5.043425116919247,5.638354669333745,6.309918278226516
los-angeles,2,pre,0,2790496,383.48623485573887,1484.0580335149964,58.0,90.0,155.0,281.0,550.0,5.157591057860692,0.9662492444618441,4.060443010546419,4.499809670330265,5.043425116919247,5.638354669333745,6.309918278226516
los-angeles,2,post,1,2790496,383.0314866676032,1483.743284959424,58.0,90.0,155.0,281.0,550.0,5.157392120781074,0.9657453266600333,4.060443010546419,4.499809670330265,5.043425116919247,5.638354669333745,6.309918278226516
los-angeles,3,pre,0,4140736,383.44829632219967,1483.9629894787927,58.0,90.0,155.0,281.0,550.0,5.157573710519153,0.9662069608425554,4.060443010546419,4.499809670330265,5.043425116919247,5.638354669333745,6.309918278226516
los-angeles,3,post,1,4140736,383.0339692557071,1483.540663355849,58.0,90.0,155.0,281.0,550.0,5.15739159864031,0.9657465642812364,4.060443010546419,4.499809670330265,5.043425116919247,5.638354669333745,6.309918278226516
new-york-city,1,pre,0,1160268,381.7772777065299,1908.797550735911,50.0,79.0,133.0,229.0,423.0,4.98139704066334,0.9314993457595293,3.912023005428146,4.3694478524670215,4.890349128221754,5.43372200355424,6.0473721790462776
new-york-city,1,post,1,1160268,381.7772777065299,1908.797550735911,50.0,79.0,133.0,229.0,423.0,4.981397040663339,0.9314993457595294,3.912023005428146,4.3694478524670215,4.890349128221754,5.43372200355424,6.0473721790462776
new-york-city,2,pre,0,2320536,381.7772777065299,1908.797550735911,50.0,79.0,133.0,229.0,423.0,4.9813970406633405,0.9314993457595292,3.912023005428146,4.3694478524670215,4.890349128221754,5.43372200355424,6.0473721790462776
new-york-city,2,post,1,2320536,381.7772777065299,1908.797550735911,50.0,79.0,133.0,229.0,423.0,4.9813970406633405,0.9314993457595294,3.912023005428146,4.3694478524670215,4.890349128221754,5.43372200355424,6.0473721790462776
new-york-city,3,pre,0,3443376,381.7772777065299,1908.797550735911,50.0,79.0,133.0,229.0,423.0,4.981397040663341,0.9314993457595293,3.912023005428146,4.3694478524670215,4.890349128221754,5.43372200355424,6.0473721790462776
new-york-city,3,post,1,3443376,381.7772777065299,1908.797550735911,50.0,79.0,133.0,229.0,423.0,4.981397040663337,0.9314993457595294,3.912023005428146,4.3694478524670215,4.890349128221754,5.43372200355424,6.0473721790462776
san-francisco,1,pre,0,242327,468.93800051170524,2022.114461325219,65.0,99.0,167.0,300.0,500.0,5.224358591724971,0.9422543189096527,4.174387269895637,4.59511985013459,5.117993812416755,5.703782474656201,6.214608098422191
san-francisco,1,post,1,242327,468.93800051170524,2022.114461325219,65.0,99.0,167.0,300.0,500.0,5.224358591724971,0.9422543189096527,4.174387269895637,4.59511985013459,5.117993812416755,5.703782474656201,6.214608098422191
san-francisco,2,pre,0,484654,468.93800051170524,2022.114461325219,65.0,99.0,167.0,300.0,500.0,5.22435859172497,0.9422543189096528,4.174387269895637,4.59511985013459,5.117993812416755,5.703782474656201,6.214608098422191
san-francisco,2,post,1,484654,468.93800051170524,2022.114461325219,65.0,99.0,167.0,300.0,500.0,5.22435859172497,0.9422543189096528,4.174387269895637,4.59511985013459,5.117993812416755,5.703782474656201,6.214608098422191
san-francisco,3,pre,0,719164,468.93800051170524,2022.114461325219,65.0,99.0,167.0,300.0,500.0,5.224358591724972,0.9422543189096527,4.174387269895637,4.59511985013459,5.117993812416755,5.703782474656201,6.214608098422191
san-francisco,3,post,1,719164,468.93800051170524,2022.114461325219,65.0,99.0,167.0,300.0,500.0,5.224358591724972,0.9422543189096527,4.174387269895637,4.59511985013459,5.117993812416755,5.703782474656201,6.214608098422191
seattle,1,pre,0,209622,235.11360839988168,330.39774683090207,70.0,100.0,150.0,250.0,450.0,5.11110063525136,0.761159816305539,4.248495242049359,4.605170185988092,5.0106352940962555,5.521460917862246,6.1092475827643655
seattle,1,post,1,209622,235.11360839988168,330.39774683090207,70.0,100.0,150.0,250.0,450.0,5.11110063525136,0.761159816305539,4.248495242049359,4.605170185988092,5.0106352940962555,5.521460917862246,6.1092475827643655
seattle,2,pre,0,419244,235.11360839988168,330.39774683090207,70.0,100.0,150.0,250.0,450.0,5.111100635251358,0.761159816305539,4.248495242049359,4.605170185988092,5.0106352940962555,5.521460917862246,6.1092475827643655
seattle,2,post,1,419244,235.11360839988168,330.39774683090207,70.0,100.0,150.0,250.0,450.0,5.111100635251358,0.761159816305539,4.248495242049359,4.605170185988092,5.0106352940962555,5.521460917862246,6.1092475827643655
seattle,3,pre,0,622104,235.1136083998817,330.39774683090207,70.0,100.0,150.0,250.0,450.0,5.1111006352513595,0.761159816305539,4.248495242049359,4.605170185988092,5.0106352940962555,5.521460917862246,6.1092475827643655
seattle,3,post,1,622104,235.1136083998817,330.39774683090207,70.0,100.0,150.0,250.0,450.0,5.1111006352513595,0.761159816305539,4.248495242049359,4.605170185988092,5.0106352940962555,5.521460917862246,6.1092475827643655
washington-dc,1,pre,0,188387,401.61049860128355,1867.6408903089186,65.0,99.0,145.0,224.0,409.0,5.069136033414133,0.8690361891613372,4.174387269895637,4.59511985013459,4.976733742420574,5.41164605185504,6.013715156042802
washington-dc,1,post,1,188387,401.61049860128355,1867.6408903089186,65.0,99.0,145.0,224.0,409.0,5.069136033414133,0.8690361891613372,4.174387269895637,4.59511985013459,4.976733742420574,5.41164605185504,6.013715156042802
washington-dc,2,pre,0,376774,401.61049860128355,1867.6408903089184,65.0,99.0,145.0,224.0,409.0,5.069136033414133,0.8690361891613373,4.174387269895637,4.59511985013459,4.976733742420574,5.41164605185504,6.013715156042802
washington-dc,2,post,1,376774,401.61049860128355,1867.6408903089184,65.0,99.0,145.0,224.0,409.0,5.069136033414133,0.8690361891613373,4.174387269895637,4.59511985013459,4.976733742420574,5.41164605185504,6.013715156042802
washington-dc,3,pre,0,559084,401.61049860128355,1867.6408903089186,65.0,99.0,145.0,224.0,409.0,5.069136033414132,0.8690361891613371,4.174387269895637,4.59511985013459,4.976733742420574,5.41164605185504,6.013715156042802
washington-dc,3,post,1,559084,401.61049860128355,1867.6408903089186,65.0,99.0,145.0,224.0,409.0,5.069136033414132,0.8690361891613371,4.174387269895637,4.59511985013459,4.976733742420574,5.41164605185504,6.013715156042802
