city_slug,city_name,days_from_cutoff,n_obs,mean_price_usd,mean_log_price,availability_rate
austin,Austin,-48,15418,380.6758334414321,5.246855995598977,0.4540796471656505
austin,Austin,-47,15418,380.70832792839536,5.246870500961304,0.44636139577117656
austin,Austin,-46,15418,380.70949539499287,5.246871545229476,0.44311843300038917
austin,Austin,-45,15418,380.70975483201454,5.246871775023359,0.4422104034245687
austin,Austin,-44,15418,380.70975483201454,5.246871775023359,0.4421455441691529
austin,Austin,-43,15418,380.70832792839536,5.246870500961304,0.4446101958749514
austin,Austin,-42,15418,380.6758334414321,5.246855995598977,0.44636139577117656
austin,Austin,-41,15418,380.6758334414321,5.246855995598977,0.4466856920482553
austin,Austin,-40,15418,380.70832792839536,5.246870500961304,0.44564794396160334
austin,Austin,-39,15418,380.70832792839536,5.246870500961304,0.44402646257620965
austin,Austin,-38,15418,380.70975483201454,5.246871775023359,0.4423401219354002
austin,Austin,-37,15418,380.70975483201454,5.246871775023359,0.44415618108704114
austin,Austin,-36,15418,380.70832792839536,5.246870500961304,0.447009988325334
austin,Austin,-35,15418,380.6758334414321,5.246855995598977,0.44662083279283954
austin,Austin,-34,15418,380.6758334414321,5.246855995598977,0.4468802698145025
austin,Austin,-33,15418,380.70832792839536,5.246870500961304,0.4469451290699183
austin,Austin,-32,15418,380.70832792839536,5.246870500961304,0.44558308470618757
austin,Austin,-31,15418,380.7162407575561,5.246875004607215,0.4412375145933325
austin,Austin,-30,15418,380.7162407575561,5.246875004607215,0.44084835906083797
austin,Austin,-29,15418,380.71481385393696,5.24687373054516,0.4434427292774679
austin,Austin,-28,15418,380.6823193669737,5.246859225182833,0.4436373070437151
austin,Austin,-27,15418,380.6823193669737,5.246859225182833,0.4439616033207939
austin,Austin,-26,15418,380.71481385393696,5.24687373054516,0.44311843300038917
austin,Austin,-25,15418,380.71513815021405,5.246874022310184,0.4419509664029057
austin,Austin,-24,15418,380.7162407575561,5.246875004607215,0.4407186405500065
austin,Austin,-23,15418,380.7162407575561,5.246875004607215,0.44091321831625374
austin,Austin,-22,15418,380.71157089116616,5.246872272972463,0.4442858995978726
austin,Austin,-21,15418,380.6790764042029,5.246857767610137,0.4446101958749514
austin,Austin,-20,15418,380.6790764042029,5.246857767610137,0.4459073809832663
austin,Austin,-19,15418,380.71157089116616,5.246872272972463,0.44486963289661435
austin,Austin,-18,15418,380.71559216500196,5.246874428588727,0.4427941367233104
austin,Austin,-17,15418,380.7162407575561,5.246875004607215,0.44240498119081595
austin,Austin,-16,15418,380.7162407575561,5.246875004607215,0.44246984044623167
austin,Austin,-15,15418,380.71481385393696,5.24687373054516,0.44564794396160334
austin,Austin,-14,15418,380.6790764042029,5.246857767610137,0.4455182254507718
austin,Austin,-13,15418,380.6790764042029,5.246857767610137,0.4453236476845246
austin,Austin,-12,15418,380.71157089116616,5.246872272972463,0.4444804773641199
austin,Austin,-11,15418,380.71481385393696,5.24687373054516,0.44240498119081595
austin,Austin,-10,15418,380.7162407575561,5.246875004607215,0.4421455441691529
austin,Austin,-9,15418,380.7162407575561,5.246875004607215,0.4429887144895577
austin,Austin,-8,15418,380.71481385393696,5.24687373054516,0.44571280321701906
austin,Austin,-7,15418,380.6790764042029,5.246857767610137,0.44584252172785055
austin,Austin,-6,15418,380.6790764042029,5.246857767610137,0.4461019587495136
austin,Austin,-5,15418,380.71157089116616,5.246872272972463,0.4462965365157608
austin,Austin,-4,15418,380.7277857050201,5.246879627856624,0.4439616033207939
austin,Austin,-3,15418,380.7292126086393,5.24688090191868,0.4429238552341419
austin,Austin,-2,15418,380.7292126086393,5.24688090191868,0.44188610714748994
austin,Austin,-1,15418,380.7277857050201,5.246879627856624,0.4451939291736931
austin,Austin,0,15418,380.718251394474,5.246875169548323,0.44422104034245685
austin,Austin,1,15418,380.71157089116616,5.2468721325084005,0.4437670255545466
austin,Austin,2,15418,380.68880529251527,5.246861371630875,0.4423401219354002
austin,Austin,3,15418,380.6934751589052,5.246864103265628,0.44104293682708523
austin,Austin,4,15418,380.6934751589052,5.246864103265628,0.44039434427292773
austin,Austin,5,15418,380.6934751589052,5.246864103265628,0.440588922039175
austin,Austin,6,15418,380.692048255286,5.246862829203573,0.44246984044623167
austin,Austin,7,15418,380.68880529251527,5.246861371630875,0.44259955895706315
austin,Austin,8,15418,380.68880529251527,5.246861371630875,0.4414320923595797
austin,Austin,9,15418,380.68880529251527,5.246861371630875,0.4419509664029057
austin,Austin,10,15418,380.6609806719419,5.246849597903301,0.44175638863665845
austin,Austin,11,15418,380.6609806719419,5.246849597903301,0.4401997665066805
austin,Austin,12,15418,380.6609806719419,5.246849597903301,0.4404592035283435
austin,Austin,13,15418,380.6590348942794,5.2468480928196115,0.44162667012582696
austin,Austin,14,15418,380.6563108055519,5.246846866268548,0.4414320923595797
austin,Austin,15,15418,380.68880529251527,5.246861371630875,0.44240498119081595
austin,Austin,16,15418,380.68880529251527,5.246861371630875,0.4422104034245687
austin,Austin,17,15418,380.6934751589052,5.246864103265628,0.44084835906083797
austin,Austin,18,15418,380.6934751589052,5.246864103265628,0.4397457517187703
austin,Austin,19,15418,380.6934751589052,5.246864103265628,0.4401997665066805
austin,Austin,20,15418,380.6902321961344,5.2468626456929295,0.4420158256583214
austin,Austin,21,15418,380.68880529251527,5.246861371630875,0.44188610714748994
austin,Austin,22,15418,380.68880529251527,5.246861371630875,0.44246984044623167
