city_slug,city_name,year_month,n_listings_active,n_listing_days,mean_price_usd,median_price_usd,mean_log_price,availability_rate,share_post_cutoff,mean_days_from_cutoff
seattle,Seattle,2025-07,6762,209622,235.11360839988168,150.0,5.11110063525136,0.5823148333667267,0.0,-47.0
seattle,Seattle,2025-08,6762,209622,235.11360839988168,150.0,5.11110063525136,0.5680128994094131,0.0,-16.0
seattle,Seattle,2025-09,6762,202860,235.1136083998817,150.0,5.11110063525136,0.531356600611259,1.0,14.5
seattle,Seattle,2025-10,6762,209622,235.11360839988168,150.0,5.11110063525136,0.5296390646019978,1.0,45.0
seattle,Seattle,2025-11,6762,202860,235.1136083998817,150.0,5.11110063525136,0.47372079266489203,1.0,75.5
seattle,Seattle,2025-12,6762,6762,235.11360839988168,150.0,5.1111006352513595,0.42664892043774033,1.0,91.0
washington-dc,Washington DC,2025-06,6077,182310,401.61049860128355,145.0,5.069136033414133,0.6430201305468707,0.0,-77.5
washington-dc,Washington DC,2025-07,6077,188387,401.61049860128355,145.0,5.069136033414133,0.6456761878473568,0.0,-47.0
washington-dc,Washington DC,2025-08,6077,188387,401.61049860128355,145.0,5.069136033414133,0.5693439568547723,0.0,-16.0
washington-dc,Washington DC,2025-09,6077,182310,401.61049860128355,145.0,5.069136033414133,0.5713893916954638,1.0,14.5
washington-dc,Washington DC,2025-10,6077,188387,401.61049860128355,145.0,5.069136033414133,0.5388747631205975,1.0,45.0
washington-dc,Washington DC,2025-11,6077,182310,401.61049860128355,145.0,5.069136033414133,0.4794251549558444,1.0,75.5
washington-dc,Washington DC,2025-12,6077,6077,401.61049860128355,145.0,5.069136033414134,0.4791838077999013,1.0,91.0
